,app_id,german,french,spanish,brazilian,russian,italian,schinese,japanese,koreana,polish
99,49520,"(163,138)","(9,014)","(13,700)","(11,218)","(15,793)","(2,182)","(25,753)","(1,042)","(3,762)","(4,879)"
100,594650,"(94,830)","(4,239)","(5,572)","(5,334)","(22,574)","(1,021)","(24,288)",(356),"(1,538)","(2,988)"
101,2114740,"(1,377)",(59),(717),(203),(91),(37),(619),(18),(65),(32)
102,1466860,"(26,467)","(2,549)","(2,490)","(1,519)","(1,336)",(573),"(12,756)",(148),(798),(433)
103,1237970,"(69,593)","(1,111)","(3,606)","(2,138)","(8,894)",(627),"(76,138)",(654),"(2,782)","(2,011)"
104,872670,"(4,641)",(127),(166),(65),(246),(29),(350),(25),(138),(79)
105,1943950,"(17,182)",(965),"(1,989)",(463),"(6,611)",(171),"(4,357)",(65),(85),(649)
106,1895880,"(3,982)",(427),(301),(86),(87),(133),(124),(74),(102),(69)
107,218620,"(267,982)","(14,594)","(40,174)","(25,020)","(138,759)","(4,716)","(39,503)","(1,741)","(8,542)","(23,235)"
108,518790,"(57,718)","(3,553)","(2,896)","(5,778)","(6,987)",(341),"(37,489)","(1,186)","(2,212)","(4,870)"
109,1774580,"(28,252)",(682),(578),(388),(463),(114),"(2,335)",(91),(373),(409)
110,1659420,"(7,020)",(552),(647),(485),(556),(134),"(2,928)",(66),(399),(494)
111,1548850,"(5,619)",(229),(136),(87),(73),(48),(422),(18),(129),(42)
112,107410,"(118,857)","(11,278)","(6,711)","(7,876)","(21,952)","(1,792)","(13,950)",(446),"(2,446)","(3,824)"
113,892970,"(267,258)","(12,037)","(15,240)","(14,286)","(39,237)","(1,637)","(17,117)","(1,338)","(5,889)","(9,253)"
114,304390,"(68,873)","(2,613)","(4,337)","(4,090)","(17,649)",(840),"(17,468)",(264),"(3,891)","(2,223)"
115,1343400,"(17,626)",(186),(354),"(1,619)",(256),(23),(52),(7),(16),(151)
116,438100,"(141,428)","(2,714)","(8,816)","(7,660)","(12,552)",(775),"(9,110)","(1,429)","(6,147)","(2,479)"
117,4000,"(525,285)","(44,538)","(46,650)","(31,768)","(201,872)","(5,550)","(27,377)","(1,322)","(10,796)","(33,595)"
118,1089090,"(4,118)",(640),(518),(913),(304),(115),"(5,056)",(10),(938),(80)
